subject,accuracy,kappa
1,0.7083333333333334,0.6111111111111112
2,0.4305555555555556,0.2407407407407407
3,0.8368055555555556,0.7824074074074074
4,0.3819444444444444,0.17592592592592593
5,0.375,0.16666666666666663
6,0.4375,0.25
7,0.6909722222222222,0.587962962962963
8,0.7361111111111112,0.6481481481481481
9,0.6840277777777778,0.5787037037037037
