epoch,subject_probe_val_acc
1,0.02444794952681388
2,0.031019978969505785
3,0.03916929547844374
4,0.04468980021030494
5,0.052050473186119876
6,0.05099894847528917
7,0.0473186119873817
8,0.05494216614090431
9,0.057570977917981075
10,0.05573080967402734
11,0.059411146161934804
12,0.056782334384858045
13,0.05967402733964248
14,0.06072555205047318
15,0.0638801261829653
16,0.058096740273396424
17,0.06756046267087276
18,0.06519453207150368
19,0.060988433228180865
20,0.06756046267087276
21,0.06650893796004206
22,0.06624605678233439
23,0.07150368033648791
24,0.0694006309148265
25,0.06756046267087276
26,0.06782334384858044
27,0.06966351209253417
28,0.07413249211356467
29,0.07413249211356467
30,0.0749211356466877
31,0.07229232386961093
32,0.07386961093585699
33,0.07018927444794952
34,0.07229232386961093
35,0.07623554153522608
36,0.07386961093585699
37,0.07308096740273397
38,0.07097791798107256
39,0.07334384858044164
40,0.07623554153522608
41,0.0728180862250263
42,0.07649842271293375
43,0.0793901156677182
44,0.07465825446898001
45,0.08017875920084122
46,0.07754994742376446
47,0.07676130389064142
48,0.07728706624605679
49,0.07991587802313355
50,0.08070452155625657
