held_out_subject,accuracy,kappa
1,0.5572916666666666,0.4097222222222222
2,0.2673611111111111,0.02314814814814814
3,0.5572916666666666,0.4097222222222222
4,0.3923611111111111,0.18981481481481477
5,0.3177083333333333,0.09027777777777779
6,0.3159722222222222,0.08796296296296291
7,0.3489583333333333,0.13194444444444442
8,0.5347222222222222,0.37962962962962965
9,0.5017361111111112,0.33564814814814814
