epoch,supcon_loss,val_supcon_loss,lr
1,6.429058378393,6.499865531921387,1.09e-05
2,5.882815014232289,5.244612216949463,2.08e-05
3,4.809269298206676,4.4522294998168945,3.07e-05
4,4.287780805067583,4.194920539855957,4.0600000000000004e-05
5,4.17325683073564,4.145859718322754,5.050000000000001e-05
1,5.492544260892001,5.499028205871582,1.09e-05
2,5.082924149253151,4.829958915710449,2.08e-05
3,4.513021685860374,4.322628021240234,3.07e-05
4,4.241330190138384,4.1717939376831055,4.0600000000000004e-05
5,4.168704206293279,4.147763729095459,5.050000000000001e-05
6,4.151206666773016,4.1488423347473145,6.0400000000000004e-05
7,4.1504668755964795,4.147014617919922,7.03e-05
8,4.147595795718106,4.142673015594482,8.02e-05
9,4.148197694258257,4.143364429473877,9.01e-05
10,4.147393573414195,4.141863822937012,0.0001
11,4.145934841849587,4.1386518478393555,9.990133642141359e-05
12,4.144744309512052,4.142940521240234,9.96057350657239e-05
13,4.145757718519731,4.145518779754639,9.911436253643444e-05
14,4.144910508936102,4.143640518188477,9.842915805643155e-05
15,4.144284465096214,4.143177032470703,9.755282581475769e-05
16,4.1438281319358135,4.143105506896973,9.648882429441257e-05
17,4.144628351384943,4.142764091491699,9.524135262330098e-05
18,4.144349965182218,4.14194393157959,9.381533400219317e-05
19,4.1438493728637695,4.14434814453125,9.221639627510075e-05
20,4.143757039850408,4.1418256759643555,9.045084971874735e-05
21,4.143607312982732,4.142980575561523,8.852566213878945e-05
22,4.14475865797563,4.142868995666504,8.644843137107056e-05
23,4.144383040341464,4.14382791519165,8.422735529643442e-05
24,4.144316283139315,4.143321514129639,8.187119948743447e-05
25,4.143766143105247,4.143157005310059,7.938926261462366e-05
26,4.1439574415033515,4.144576549530029,7.679133974894982e-05
27,4.143873344768178,4.14120626449585,7.408768370508575e-05
28,4.1434148441661485,4.142350196838379,7.128896457825361e-05
29,4.144071665677157,4.143589019775391,6.840622763423389e-05
30,4.14390720020641,4.142003536224365,6.545084971874736e-05
31,4.144336223602295,4.142825603485107,6.243449435824272e-05
32,4.144450837915594,4.14371395111084,5.9369065729286224e-05
33,4.143747243014249,4.1433515548706055,5.626666167821521e-05
34,4.143666830929843,4.143596649169922,5.3139525976465657e-05
35,4.143652655861595,4.142909526824951,4.999999999999998e-05
36,4.143569035963579,4.143011569976807,4.6860474023534314e-05
37,4.14403789693659,4.143049716949463,4.3733338321784775e-05
38,4.1434126767245205,4.143003940582275,4.063093427071375e-05
39,4.1436897191134365,4.1429009437561035,3.756550564175724e-05
40,4.143345052545721,4.14337682723999,3.454915028125263e-05
41,4.144148999994451,4.143322944641113,3.1593772365766105e-05
42,4.143561840057373,4.1432647705078125,2.8711035421746357e-05
43,4.14387152411721,4.142892360687256,2.591231629491422e-05
44,4.143166368657893,4.142300128936768,2.3208660251050148e-05
45,4.143794579939409,4.141840934753418,2.061073738537634e-05
46,4.143482381647283,4.143245220184326,1.8128800512565503e-05
47,4.143669561906294,4.1446990966796875,1.5772644703565555e-05
48,4.1436614556746045,4.143267631530762,1.3551568628929426e-05
49,4.14296631379561,4.1424994468688965,1.1474337861210536e-05
50,4.144068241119385,4.142756938934326,9.549150281252626e-06
51,4.143645546653054,4.142918586730957,7.783603724899252e-06
