epoch,train_loss,val_loss,val_acc
1,1.1593850680759974,1.1212542057037354,0.3076923076923077
2,1.1131704364504134,1.2731379270553589,0.07692307692307693
3,1.0165347031184606,1.241317868232727,0.3076923076923077
4,0.9580069695200238,1.2673004865646362,0.15384615384615385
5,0.8596839308738708,1.2405165433883667,0.3076923076923077
1,1.1593850680759974,1.1212542057037354,0.3076923076923077
2,1.1131704364504134,1.2731379270553589,0.07692307692307693
3,1.0165347031184606,1.241317868232727,0.3076923076923077
1,1.1342236876487732,1.0957902449148673,0.5185185185185185
2,0.9763311266899108,1.101912705986588,0.4444444444444444
