method,accuracy_mean,accuracy_std,kappa_mean,kappa_std
EA + CSP(8) + shrinkage LDA,0.4517746913580247,0.11929097191974625,0.2690329218106996,0.15905462922632835
EA + CSP(8) + SVM (RBF),0.4461805555555556,0.10263795961757112,0.26157407407407407,0.13685061282342814
"EA + FBCSP(5 bands, 4 comp each) + SVM (RBF)",0.3946759259259259,0.11128879985692165,0.1929012345679012,0.14838506647589553
