epoch,subject_probe_val_acc
1,0.026025236593059938
2,0.027602523659305992
3,0.03391167192429022
4,0.0396950578338591
5,0.04100946372239748
6,0.049947423764458466
7,0.04758149316508938
8,0.05152471083070452
9,0.055993690851735015
10,0.05704521556256572
11,0.05862250262881178
12,0.058096740273396424
13,0.058096740273396424
14,0.06545741324921135
15,0.06466876971608833
16,0.06177707676130389
17,0.06808622502628812
18,0.06203995793901157
19,0.06729758149316509
20,0.060199789695057834
21,0.06414300736067298
22,0.06650893796004206
23,0.06703470031545741
24,0.06519453207150368
25,0.06361724500525763
26,0.06466876971608833
27,0.06861198738170347
28,0.06808622502628812
29,0.06861198738170347
30,0.07570977917981073
31,0.07045215562565721
32,0.07229232386961093
33,0.07124079915878023
34,0.06729758149316509
35,0.0728180862250263
36,0.07360672975814932
37,0.06519453207150368
38,0.06782334384858044
39,0.07386961093585699
40,0.0728180862250263
41,0.07570977917981073
42,0.07465825446898001
43,0.07544689800210305
44,0.07965299684542587
45,0.07807570977917981
46,0.07676130389064142
47,0.07886435331230283
48,0.07386961093585699
49,0.07886435331230283
50,0.07781282860147214
