method,accuracy_mean,accuracy_std,kappa_mean,kappa_std
EA + Covariances(lwf) + MDM,0.4380787037037037,0.10966397012051221,0.2507716049382716,0.1462186268273496
EA + Covariances(lwf) + FgMDM,0.474537037037037,0.1341594456559454,0.2993827160493827,0.17887926087459388
Per-class EA (source) + TS + shrinkage LDA,0.25405092592592593,0.03373400843006869,0.005401234567901265,0.044978677906758247
Band ensemble (mu+beta) TS+LR+EA,0.45370370370370366,0.12044546713696151,0.2716049382716049,0.16059395618261538

per-fold breakdown for best method: EA + Covariances(lwf) + FgMDM
held_out_subject,accuracy,kappa
1,0.5694444444444444,0.42592592592592593
2,0.2604166666666667,0.01388888888888884
3,0.6770833333333334,0.5694444444444444
4,0.4496527777777778,0.2662037037037037
5,0.3541666666666667,0.13888888888888884
6,0.3732638888888889,0.16435185185185186
7,0.3975694444444444,0.1967592592592593
8,0.6493055555555556,0.5324074074074074
9,0.5399305555555556,0.38657407407407407
