epoch,subject_probe_val_acc
1,0.02786540483701367
2,0.028654048370136697
3,0.030757097791798107
4,0.028916929547844375
5,0.031808622502628815
6,0.032334384858044164
7,0.03259726603575184
8,0.032334384858044164
9,0.032334384858044164
10,0.032334384858044164
11,0.03338590956887487
12,0.03391167192429022
13,0.03470031545741325
14,0.03548895899053628
15,0.035751840168243953
16,0.03680336487907466
17,0.03680336487907466
18,0.038643533123028394
19,0.03943217665615142
20,0.03916929547844374
21,0.040746582544689804
22,0.04127234490010515
23,0.0417981072555205
24,0.0417981072555205
25,0.04547844374342797
26,0.04652996845425868
27,0.04863301787592009
28,0.04810725552050473
29,0.04863301787592009
30,0.050473186119873815
31,0.050473186119873815
32,0.050473186119873815
33,0.051787592008412195
34,0.051787592008412195
35,0.05231335436382755
36,0.05231335436382755
37,0.052050473186119876
38,0.052576235541535225
39,0.054153522607781286
40,0.05494216614090431
41,0.053890641430073605
42,0.05704521556256572
43,0.057570977917981075
44,0.05862250262881178
45,0.057308096740273394
46,0.05967402733964248
47,0.06046267087276551
48,0.06125131440588854
49,0.0628286014721346
50,0.06361724500525763
