epoch,recon_loss,club_bound,vib_kl,val_recon_loss,lr
1,1.3047330343633665,0.00022751227357333765,60.44885907854353,1.2612744661285047,1.6349999999999998e-05
2,1.1287755535957509,-0.0007357704908327948,16.330695111052435,1.0482944243839236,3.119999999999999e-05
3,1.0262141622098766,0.0012484457259787653,2.1586541537951707,1.0025800707212382,4.604999999999999e-05
4,1.0077427580840606,0.00615022056981137,1.3958076722639845,0.9992810502162617,6.089999999999999e-05
5,1.0056548575709636,-0.0007830705857814703,1.1327841452189855,0.9992130283426912,7.575e-05
6,1.0050013746534074,-0.005829341429516785,0.9857663678047353,0.9992006703130079,9.059999999999999e-05
7,1.004577054116959,-0.003543609963323837,0.889213180183468,0.9992178888476358,0.00010544999999999999
8,1.0042837580343835,-0.00154457594219007,0.8203734625551037,0.9993164675343551,0.00012029999999999998
9,1.004011481328118,-0.004227666926563234,0.7679858866490816,0.9991794469855436,0.00013514999999999998
10,1.0038283193918098,0.0009589733037733494,0.7235300908411356,0.9991959455637526,0.00015
11,1.0036422641653764,-0.0013257184423002084,0.6881449065710369,0.9993486830614092,0.00014999559920873346
12,1.0034428189571638,0.0017156063165879787,0.6543738949567752,0.9992982492587293,0.00014998239735138628
13,1.0033549186878634,-0.0010293121624709968,0.6254078499356607,0.9992580823091052,0.00014996039597725493
14,1.0031648748799373,0.0003002890966888657,0.5981088437532124,0.9992520758406221,0.00014992959766829821
15,1.0029718248467696,-0.002194297044797051,0.5720167222775911,0.9992719123416143,0.00014989000603883424
16,1.002798284803118,-0.0001309186892401903,0.5506476491017449,0.9992753135042362,0.0001498416257351163
17,1.0026146039030606,0.0006568306370785361,0.5265954714968688,0.9993313081507678,0.00014978446243478749
18,1.0023610089954578,0.003330431486430921,0.5052352198084494,0.999358981879101,0.00014971852284621456
19,1.002134867180559,-0.0009066144326575717,0.48116871019951385,0.9993089666878011,0.0001496438147077006
20,1.0018283039107359,-0.000537936848805363,0.46048104045982646,0.9992472743762404,0.00014956034678657694
21,1.0014888110913729,0.0016911047741882783,0.4391864063148212,0.9992130118589672,0.00014946812887817415
22,1.001106790133885,0.0006897324009945518,0.41878961149911237,0.9991414788268217,0.00014936717180467267
23,1.0005785334379154,0.004246263575733156,0.3951810690245234,0.9988066130381402,0.0001492574874138327
24,0.999944806098938,-0.0008518211823657044,0.3745787663567335,0.9984077846339574,0.00014913908857760384
25,0.9992421762387556,1.4104341205797697e-05,0.34988950226539955,0.997754717537532,0.00014901198919061443
26,0.9984226123730939,0.001037414808918659,0.3230400632198592,0.9969532413312188,0.00014887620416854108
27,0.9976240925322798,-0.00033389356799591754,0.2964995344330494,0.9960427471014478,0.0001487317494463582
28,0.996004495405613,-0.00021760983574659303,0.2786949543576491,0.9916514001559509,0.00014857864197646788
29,0.9898130750297603,-0.0020700002971448398,0.260443127805129,0.9829202706129393,0.0001484168997267106
30,0.9780972053233842,0.0001361603127386337,0.2416027407897146,0.9648890965995227,0.00014824654167825647
31,0.9666762307174224,-0.0006817659937349477,0.1918643348871317,0.9594033728387955,0.0001480675878233778
32,0.9645653550786183,-0.0007352291193223538,0.16855207466541378,0.9576927307527022,0.00014788005916310288
33,0.9626293549860331,-0.00013432825418343222,0.15283776102657604,0.9567525537232119,0.0001476839777047515
34,0.9613926020780004,-0.0013666475625862752,0.1390460204697193,0.9576964318188207,0.00014747936645935218
35,0.9616436989683854,-0.0024496200389431833,0.12764070110213488,0.9566647085105583,0.0001472662494389417
36,0.9607200084772325,0.00230350350975094,0.11700444920618731,0.9552918787885039,0.00014704465165374739
37,0.9597859458815783,-0.0008146422249930245,0.11066245875860516,0.9553476488677987,0.0001468145991092518
38,0.9594406839600182,0.00110257299322831,0.10456086118194394,0.9541008802117108,0.00014657611880314109
39,0.9586758998999918,-0.0003778773142879171,0.09820417891767688,0.953430484334001,0.00014632923872213652
40,0.9584198110085681,0.004222453984999119,0.09226567146921516,0.9520611352474281,0.00014607398783871017
41,0.9570668554843816,0.0004001739329861519,0.08841339325098167,0.9517862292870362,0.00014581039610768497
42,0.9562763571739197,0.0003446923162704124,0.08272576348898106,0.9501240526088028,0.00014553849446271927
43,0.9558427159051249,-0.0008924097046816259,0.07744214577334267,0.9498788980154084,0.00014525831481267663
44,0.9554962542720307,0.0010667134048347186,0.07540627546552428,0.9495721981477787,0.00014496989003788126
45,0.9546282744049129,-0.0004551105929496593,0.07387478341509525,0.9491166202302486,0.0001446732539862593
46,0.9548723088171249,0.0008843715925862018,0.07130881090809528,0.9492699755855163,0.00014436844146936662
47,0.9548406659212327,-0.0013157909077809269,0.06848302612403281,0.9496454168444051,0.00014405548825830353
48,0.954600877779767,-0.00017324605382474742,0.06447121727847516,0.947804267599505,0.0001437344310795169
49,0.9539621046611241,0.0004498080203407689,0.06490443411626313,0.9482316576594685,0.0001434053076104902
50,0.9542479559891206,-0.0015874733602193962,0.061439987944256994,0.9487882989187472,0.00014306815647532173
51,0.9537249395721837,0.00029025400491585406,0.05805394969376406,0.9495795616090736,0.00014272301724019208
52,0.9537770161055085,0.0007928403696619478,0.05892937456754813,0.9473961440672007,0.0001423699304087208
53,0.9529422857707605,0.001033718424632137,0.056775757552761784,0.9470774718764954,0.00014200893741721297
54,0.9526487942925073,-0.000522839395623458,0.05441931901233537,0.9468513456428841,0.0001416400806297968
55,0.9518179745602429,-0.0016314535212696047,0.05557732900282494,0.9466323578646005,0.00014126340333345166
56,0.9526349180623105,-6.974012331855028e-05,0.055191977999936366,0.9484610613337576,0.0001408789497329284
57,0.9518541967062125,0.0023172421562940556,0.05535332334781051,0.9462033958339792,0.00014048676494556164
58,0.9513739127861826,-8.755877501982496e-05,0.054697243482770774,0.9454686956952172,0.00014008689499597502
59,0.950649224725881,-1.6800443032630403e-05,0.052227161404557694,0.9442235434468988,0.0001396793868106801
60,0.9497769891767573,0.000652449471609933,0.050278168115624806,0.9433435109511535,0.00013926428821256913
61,0.9500856412980789,-0.0012387512321758987,0.05037304534947962,0.9432801057738335,0.00013884164791530312
62,0.9487272890886866,0.0012611374819189087,0.045489718143204995,0.9425174134512179,0.00013841151551759483
63,0.9490357113063783,0.0011618334547917645,0.04544937495786445,0.94286667749082,0.00013797394149738825
64,0.9485284712977875,0.00154543640021991,0.04388653103234176,0.9422687878117326,0.0001375289772059347
65,0.9480229078378892,2.476326505044349e-05,0.04259845328734333,0.942628865863748,0.00013707667486176673
66,0.9473744469477718,-0.0004122741240307801,0.04147835294330927,0.942451636685934,0.0001366170875445698
67,0.9472234186373258,-0.00017455108183667175,0.0416199624874538,0.942396283964504,0.0001361502691889533
68,0.9472834405146147,-0.0009152548653738839,0.04014360355703454,0.9421382663001774,0.000135676274578121
69,0.9468709450019034,0.0005809310683630463,0.03968565686976999,0.9415371411104935,0.0001351951593374421
70,0.9468754229689003,0.0011988080533823573,0.04026108338756669,0.9405972107101064,0.00013470697992792324
71,0.9462513157299587,0.0028254788621027665,0.03734350078424117,0.9422802402394052,0.0001342117936395826
72,0.9460292852910838,0.0027639274310348625,0.03845223271869179,0.9421405356639818,0.00013370965858472663
73,0.9454332056798433,-0.00023935074196722273,0.03894691903116111,0.9408121180459151,0.00013320063369113042
74,0.9458246903311938,-2.3393702686281132e-05,0.03953027912884727,0.9398020196286913,0.00013268477869512213
75,0.9456515536272436,-0.0027722380215064028,0.03803826204704163,0.9399512895274238,0.00013216215413457269
76,0.9449358663164583,-0.0021863808309225212,0.036407176265142914,0.9378998317176988,0.0001316328213417915
77,0.9447591053812128,0.0019406232618747797,0.03662797290467678,0.9387779995470017,0.00013109684243632874
78,0.9445341829966781,-0.0006321462473474947,0.03759365080666721,0.9398694516607138,0.0001305542803176854
79,0.944415413347402,0.0021017332722369888,0.03653138324170184,0.9381193684729366,0.00013000519865793162
80,0.9431425234428922,-0.00029263460546507874,0.03584443999076248,0.9373707381458062,0.00012944966189423475
81,0.9430127614422849,0.0010088332613607995,0.03511223513492964,0.9362541304276444,0.00012888773522129712
82,0.9433604348871044,0.001144710339997944,0.03408495604263661,0.9362670742876271,0.00012831948458370525
83,0.9423296621867588,0.0009289970971587905,0.03348858430421442,0.9366132966100731,0.00012774497666819093
84,0.9416075855269468,7.142518696032072e-05,0.033675812913062875,0.9356666261841446,0.00012716427889580533
85,0.9415873970304217,0.0011925051983137777,0.03275038161896225,0.9356952626747789,0.00012657745941400668
86,0.9410375374600404,0.000533742115909892,0.03262585379127273,0.9346973289325284,0.00012598458708866302
87,0.9401152685172576,0.0016339918724576333,0.03125298586218877,0.9331534780663772,0.00012538573149597037
88,0.9402171485406116,-0.0015940988870491658,0.02989299399288077,0.9340754993706472,0.00012478096291428778
89,0.9403799073140424,-0.000202135932176633,0.03072396179843218,0.9353492610336729,0.00012417035231588965
90,0.9394443268166449,-0.0011641244242962142,0.02874733577657463,0.9314947287492321,0.000123553971358637
91,0.9390698653414733,0.0009022511933979235,0.02922289457200165,0.9332869782432772,0.00012293189237756814
92,0.9390528116907392,0.0008601461138044085,0.028492212785702003,0.9341448824363051,0.0001223041883764096
93,0.9386100432926551,-0.00038477173425201185,0.029690842627358615,0.9331923888684823,0.000121670933019009
94,0.9382794391840024,0.0004000807166995859,0.028371934940044145,0.9321766920646283,0.00012103220062069027
95,0.9383795046268549,-0.0022603300281037065,0.027573517558718084,0.9326931786587311,0.00012038806613953234
96,0.9382694448743548,0.0008453856733508576,0.026897302807721877,0.9314856157568602,0.00011973860516757253
97,0.938082592379778,0.0008358811973629141,0.026552153947321994,0.9320917643457808,0.00011908389392193546
98,0.9383885327138399,0.00010408673967633928,0.027438261147056307,0.9314411099526158,0.00011842400923588861
99,0.9379232642345858,-0.0013263207629210967,0.026086409121079554,0.933763143203988,0.00011775902854982569
100,0.93702028658157,-0.00044770706865124234,0.02537564212050205,0.9325136612517099,0.00011708902990217864
101,0.937437934086735,-0.001724185800193844,0.02528031481275881,0.9313620739429406,0.0001164140919202593
102,0.9370345701848654,-0.002819412632992393,0.025330745440004465,0.9298268788495149,0.00011573429381103243
103,0.9365585258132533,-0.0011768699588632224,0.02521912271815135,0.9311814551975198,0.00011504971535182018
104,0.9374044017684191,-0.0016474042619977678,0.02315184132273036,0.9312625464079383,0.00011436043688094
105,0.9361445796220822,-0.0012247974711253231,0.02332988753914833,0.9305516053950874,0.00011366653928827657
106,0.9359932981039348,1.274553456700834e-05,0.02391506521437401,0.9302091357835836,0.000112968104005789
107,0.9364166291136491,0.0008570699763477297,0.02446437274154864,0.9311777526271832,0.00011226521299795437
108,0.936447937237589,0.00020765361929298343,0.023905675606171888,0.9309480923583455,0.0001115579487521489
109,0.935188206963073,-0.001320154147040575,0.023176590190794235,0.930072155221905,0.00011084639426896768
110,0.9359932447734632,0.002101600618290722,0.022803468643722676,0.931418726246189,0.00011013063305248422
111,0.9354149457207299,-0.0006382411583921963,0.02248149306366318,0.9303038088931896,0.00010941074910045076
112,0.9363340112499725,-0.001384491310980087,0.02318844288811648,0.9301124363667581,0.00010868682689444088
113,0.9355743428818265,-0.001431189085307874,0.02176297041482495,0.9310405783347402,0.00010795895138993518
114,0.9350253236024899,0.0009864219149252527,0.023118678606430392,0.9294350040698528,0.00010722720800635133
115,0.9344839511957383,-0.0005747608672407337,0.02182867649690549,0.9308314111581235,0.0001064916826170198
116,0.9353010528966,-0.00017053561103075072,0.021986148481194238,0.9293931003123302,0.00010575246153910617
117,0.9349329767370582,-0.0012651493674830387,0.02124435589053577,0.929412499461891,0.00010500963152348146
118,0.9352075479980698,0.0004134321571292734,0.020411610757385876,0.9302773140958431,0.00010426327974454155
119,0.9345753797911164,-0.0006094480815686678,0.02079089799601781,0.9304771703500477,0.00010351349378997685
120,0.9355429316821852,-0.0009670795354628025,0.020945036377673757,0.9291188666121065,0.00010276036165049353
121,0.9352104654885772,0.0008479742179239603,0.020383688754269054,0.9290000273602242,0.00010200397170948738
122,0.9345621247040597,0.00016733757535317788,0.020569721194810438,0.9294111970596635,0.00010124441273267159
123,0.9341017124348117,-0.0020206530291335028,0.019869516162495864,0.9275900596825232,0.00010048177385765984
124,0.9343226995683254,0.00040453358700400904,0.020287492543570977,0.9285914305006041,9.971614458350549e-05
125,0.9332401559765178,-0.0003027987659425664,0.019823347309366204,0.9296222812996553,9.894761476019845e-05
126,0.9335785700862569,-0.0009789538562745975,0.020061338936587923,0.9279992818581695,9.817627457812101e-05
127,0.934401856329208,0.00018711376907233905,0.019695494464017395,0.9277062752018717,9.740221455746347e-05
128,0.9328536570520329,-0.0007843612728262306,0.019729106750031162,0.9280618250558053,9.662552553760125e-05
129,0.9335327305291828,-0.0004227537857858758,0.020120444084356603,0.9273081163627993,9.584629866643452e-05
130,0.933380591241937,-0.0015446440617840989,0.01966873077409608,0.9275201641172014,9.506462538969153e-05
131,0.932748814274494,-0.0007150262818300634,0.018747511102740925,0.9276141274238611,9.4280597440197e-05
132,0.9328269564119497,0.00025515807302374586,0.018036259912458576,0.9296709803627368,9.349430682710711e-05
133,0.9326519840642026,0.0007090317575555099,0.01763796785328173,0.9276829431485678,9.270584582511145e-05
134,0.9324589680908317,0.0008480710194523173,0.017587084379187205,0.9283279154202916,9.191530696360452e-05
135,0.9317832620520341,0.0009255122421379376,0.01681303323239536,0.9263134434521512,9.112278301582676e-05
136,0.9316207421453375,-0.0007495665012445665,0.017366235557579456,0.9275745271884305,9.032836698797733e-05
137,0.9318803732556508,0.0021168737483203857,0.017255146294496114,0.9284522100327268,8.953215210829934e-05
138,0.931296632254034,-0.00014040165377738782,0.016814643811238438,0.9273591384401332,8.873423181613915e-05
139,0.931249419549354,-0.0009627019552359904,0.01645315813138745,0.9268733461697897,8.79346997509809e-05
140,0.9313097027011383,0.00048813784032836,0.016378699213658508,0.9280483607990132,8.713364974145733e-05
141,0.9314888989118705,-0.0013219790351121947,0.016118029587643037,0.9276462629139737,8.633117579433872e-05
142,0.9311448972028001,-0.0010710443769182479,0.01637075648159909,0.9289528517567648,8.552737208350078e-05
143,0.9309638196364382,9.49873960107789e-05,0.016320437136897466,0.9261393910577496,8.472233293887285e-05
144,0.9309632648202709,0.0011079580263983935,0.016079699137437165,0.9267464149136148,8.391615283536794e-05
145,0.9305971923627352,0.0016267998774248855,0.015845450488640403,0.9258598970439281,8.310892638179558e-05
146,0.929977944470886,0.0014540629279344603,0.015798571694614294,0.9265824711159828,8.230074830975916e-05
147,0.9302335381507874,0.0008148143165989927,0.01533772012120799,0.9254035418216613,8.149171346253877e-05
148,0.9299191931136569,-0.0002399100396866189,0.015843614529734266,0.9294654994607598,8.068191678396074e-05
149,0.9299436413255849,0.0025194318670975534,0.01580563210707186,0.9270034721346433,7.987145330725575e-05
150,0.9289208085913407,-0.0010388309794261044,0.015534933068250356,0.9262791377512815,7.906041814390626e-05
151,0.9301934730737729,-0.0007585905548325158,0.015586634719730319,0.9266574985096006,7.824890647248461e-05
152,0.9295792270423775,-0.0009264479902453889,0.015254677763502849,0.9265774388794643,7.743701352748349e-05
153,0.9295230727446707,-0.000717181012146455,0.015347356354831754,0.9273453373638237,7.662483458813976e-05
154,0.9299359653229103,-0.0011078755658372004,0.014628785592328785,0.9254838259563587,7.581246496725294e-05
155,0.9287491691739935,0.0010618267202735844,0.01435458869498251,0.9271371726859381,7.499999999999995e-05
156,0.9283948088050785,0.0002601523148386102,0.014971424111242132,0.9266268456145165,7.418753503274697e-05
157,0.9286222018693623,-0.00028239156966818903,0.014236805001203726,0.9283107765465505,7.337516541186015e-05
158,0.9290064232689994,0.0013566626641983376,0.01405807571919789,0.9263309292362065,7.256298647251643e-05
159,0.9286424324924785,0.00021153643615263746,0.014060252899290027,0.924272335728887,7.175109352751529e-05
160,0.9283784242500936,0.0020837174322372093,0.01424123243169677,0.9267927995490226,7.093958185609364e-05
161,0.9275567078948918,-0.0008520757345328654,0.013534667502556528,0.92581096514041,7.012854669274415e-05
162,0.9289922835235309,-0.0005439457140470806,0.013820070864394643,0.9259831484810662,6.931808321603919e-05
163,0.9281719694460245,-0.0015937045104521558,0.013342276292579962,0.9274470050878956,6.850828653746115e-05
164,0.9275617962493036,-0.0006251120029535509,0.013330935913705289,0.9276374838580344,6.769925169024071e-05
165,0.9278103960187811,-0.00037503063230586234,0.01357889211827651,0.9272156927487828,6.689107361820431e-05
166,0.9274750262274778,-0.0005977996309897057,0.01305002962148055,0.9275943354226562,6.608384716463197e-05
167,0.9276003411837986,0.0016228632819383665,0.013047746928842892,0.9258869347386807,6.527766706112706e-05
168,0.9272298826310867,-0.0007829200056262483,0.012649797533351676,0.9245205653202646,6.447262791649913e-05
169,0.9269382330708038,0.001281996418658952,0.01285486228595999,0.9265576182981144,6.36688242056612e-05
170,0.9259230337644878,-0.0006304074050788593,0.012953868745020906,0.9272035527680574,6.286635025854259e-05
171,0.9273614910312165,-0.0004351945748006491,0.012894062703489362,0.9276410643359966,6.206530024901902e-05
172,0.9265159879411969,0.0005654966024527873,0.012670412519596573,0.9256685747207778,6.126576818386075e-05
173,0.9268843661573597,0.0012382242016326216,0.012601335280875963,0.9246445091364888,6.046784789170059e-05
174,0.9262506298552778,1.8277562650522793e-05,0.012123196476832368,0.9256194005754593,5.96716330120226e-05
175,0.9268809588331925,-0.0005830391905361548,0.012258381232675305,0.925568594666811,5.887721698417316e-05
176,0.9260130564969286,-0.0005512560220589315,0.011861459149005717,0.9263564355741916,5.808469303639537e-05
177,0.92637777911093,-0.001270229655100887,0.01213277458332311,0.9247855703286694,5.729415417488844e-05
178,0.9263208369563397,-0.0014170632326513306,0.011658340307386746,0.9261819952795307,5.650569317289281e-05
179,0.9254536911060935,0.0011621740527619096,0.011520492200060446,0.9241466267126467,5.57194025598029e-05
180,0.9260495919033997,-0.0007923025833932977,0.011265114986134651,0.9248040537854224,5.493537461030839e-05
181,0.9265081582212806,8.128818712736432e-05,0.011160837941543949,0.9259496045413453,5.415370133356539e-05
182,0.9261718719525445,0.0007182816813762923,0.011491295909579088,0.9253968519994011,5.337447446239866e-05
183,0.92513213345879,0.0012225387687969924,0.011080508652542318,0.9258502990038738,5.2597785442536455e-05
