held_out_subject,accuracy,kappa
1,0.5416666666666666,0.38888888888888884
2,0.2829861111111111,0.04398148148148151
3,0.5434027777777778,0.3912037037037037
4,0.3871527777777778,0.18287037037037035
5,0.3263888888888889,0.10185185185185186
6,0.3177083333333333,0.09027777777777779
7,0.3211805555555556,0.09490740740740744
8,0.5572916666666666,0.4097222222222222
9,0.4513888888888889,0.2685185185185185
