held_out,selected,inner_cv_acc,outer_acc,outer_kappa
1,ENSEMBLE,0.5013020833333334,0.6302083333333334,0.5069444444444444
2,ENSEMBLE,0.554904513888889,0.3125,0.08333333333333337
3,ENSEMBLE,0.4711371527777778,0.7760416666666666,0.7013888888888888
4,ENSEMBLE,0.5219184027777778,0.4739583333333333,0.29861111111111116
5,ENSEMBLE,0.5394965277777777,0.3611111111111111,0.14814814814814814
6,ENSEMBLE,0.5310329861111112,0.4201388888888889,0.22685185185185186
7,ENSEMBLE,0.5240885416666667,0.4444444444444444,0.2592592592592593
8,ENSEMBLE,0.48828125,0.6909722222222222,0.587962962962963
9,ENSEMBLE,0.5071614583333333,0.6059027777777778,0.4745370370370371
