epoch,recon_loss,adv_loss,val_recon_loss,subject_probe_acc
1,1.0380309425798573,0.0,0.9992614868562179,nan
2,1.0045146493983448,0.0,0.9991995811963809,nan
3,1.003955278181492,0.0,0.9990091911124381,nan
4,1.0034657214817249,0.0,0.9987978281533555,nan
5,1.002886286355499,0.0,0.9984513220977582,nan
6,1.002044419596966,0.0,0.9975036817644923,nan
7,1.0007692118336384,0.0,0.9964578513968756,nan
8,0.9993376772206529,0.0,0.9941960345056656,nan
9,0.9950808891676423,0.0,0.9855210396268265,nan
10,0.985764853936389,0.0,0.977024382973319,nan
11,0.973547010941613,0.0,0.9616062062019806,nan
12,0.9658651598414084,0.0,0.9590219001664724,nan
13,0.9639961983924522,0.0,0.9579881567558907,nan
14,0.9623744967288541,0.0,0.9567762002207879,nan
15,0.9613701799758395,0.0,0.9580095086313322,nan
16,0.9601746703449049,0.0,0.9535585159257635,nan
17,0.9586196707603627,0.0,0.9533789195472886,nan
18,0.9577429487292928,0.0,0.9517112020187699,nan
19,0.9568559186799186,0.0,0.951835183189745,nan
20,0.9559005920152018,0.0,0.9502765954355586,nan
21,0.954929616666378,0.0,0.951425186341744,nan
22,0.954227808722876,0.0,0.9508458006770578,nan
23,0.9537343391798493,0.0,0.949036265522649,nan
24,0.9560276879403824,0.0,0.9499750512130127,nan
25,0.9524485491272202,0.0,0.9499623003316853,nan
26,0.9521670525235341,0.0,0.9483323839309965,nan
27,0.9515992860148724,0.0,0.9493537900575704,nan
28,0.9501326532292187,0.0,0.9492795511249739,nan
29,0.9490947140786881,0.0,0.9483987724116674,nan
30,0.9488077741816527,0.0,0.9463290174175387,nan
31,0.9478974826353833,0.0,0.9461156486462092,nan
32,0.9480043398706537,0.0,0.9478274406444136,nan
33,0.9471664460081803,0.0,0.9465637164411735,nan
34,0.9473129927663875,0.0,0.9463004258654221,nan
35,0.9465837438303725,0.0,0.9455100163801736,nan
36,0.9461306687584496,0.0,0.9444717138096863,nan
37,0.9452643192800364,0.0,0.9456301743926561,nan
38,0.9451590861592974,0.0,0.9433732232084786,nan
39,0.9451163581439427,0.0,0.9423028811044623,nan
40,0.9445200921001291,0.0,0.9422459630560047,nan
41,0.9448991382032409,0.0,0.9424565196914753,nan
42,0.9438491813222268,0.0,0.9418677471413597,nan
43,0.9441810245800736,0.0,0.9427187907833657,nan
44,0.943250350486067,0.0,0.9419824406426286,nan
45,0.9428932612999937,0.0,0.9414948236302999,nan
46,0.9417824763104432,0.0,0.9410998399450701,nan
47,0.9411404572035137,0.0,0.9413310354565722,nan
48,0.940205316794546,0.0,0.9396570314242887,nan
49,0.9403909731628304,0.0,0.9382567637600984,nan
50,0.9389860979596475,0.0,0.9376170479160754,nan
51,0.9380997163908822,0.0,0.9349969632367355,nan
52,0.9374337913398456,0.0,0.9345002227651835,nan
53,0.9364662847124544,0.0,0.9335643318173261,nan
54,0.9357797579657763,0.0,0.9351614017967922,nan
55,0.935227860633592,0.0,0.9340772504059424,nan
56,0.9338852951401159,0.0,0.9340810234865055,nan
57,0.9338274495045942,0.0,0.9310134955761185,nan
58,0.9337277797828043,0.0,0.9339289180111809,nan
59,0.9330825518844719,0.0,0.9318708637033978,nan
60,0.932675319954865,0.0,0.9321894563585676,nan
61,0.9317002578785545,0.0,0.9323308415844112,nan
62,0.931823948720344,0.0,0.9321538670581974,nan
63,0.9312669509335568,0.0,0.9319764756755248,nan
64,0.9317447296658853,0.0,0.9313342315541457,nan
65,0.9305383554078582,0.0,0.9317824948347956,nan
66,0.9308941010245704,0.0,0.9300741660482124,nan
67,0.9313248409364456,0.0,0.9300773572470488,nan
68,0.9302129561739757,0.0,0.9297177085866437,nan
69,0.9292148132073251,0.0,0.9310333177243623,nan
70,0.9295253453398109,0.0,0.9294216741898834,nan
71,0.9290587261207122,0.0,0.9292761492302992,nan
72,0.9288649343906489,0.0,0.927661168086416,nan
73,0.9285045781529936,0.0,0.92930169123079,nan
74,0.9277766037704354,0.0,0.9291572222950331,nan
75,0.9281106219255835,0.0,0.9290501217110049,nan
76,0.9284949625345101,0.0,0.9294691833537209,nan
77,0.9279186712171799,0.0,0.9284858596437737,nan
78,0.9272476147888298,0.0,0.9275295926193333,nan
79,0.9271417502173804,0.0,0.9277197239777518,nan
80,0.9272319051556122,0.0,0.9277330514760423,nan
81,0.9263691996273241,0.0,0.9293246108149379,nan
82,0.9262192379263111,0.0,0.9303010757914603,nan
83,0.9263092180840055,0.0,0.9279689222229517,nan
84,0.9257516004985437,0.0,0.9312293349004318,nan
85,0.9262859633094386,0.0,0.9293723736902392,nan
86,0.9266521841063535,0.0,0.9291293831653775,nan
87,0.925948076678398,0.0,0.9265845467490227,nan
88,0.9253859139026556,0.0,0.9281755354251521,nan
89,0.9247555463833916,0.0,0.9271636677339877,nan
90,0.924638261024217,0.0,0.927841860225148,nan
91,0.9252605267933437,0.0,0.9256902049392556,nan
92,0.9238477134166804,0.0,0.9272621268980386,nan
93,0.924465014522237,0.0,0.9270702376726674,nan
94,0.9233436494841611,0.0,0.9287113372459772,nan
95,0.9239456805967747,0.0,0.9259068557892688,nan
96,0.9231593779155186,0.0,0.9268286443784535,nan
97,0.9231354222261816,0.0,0.9273941726213248,nan
98,0.9230017886125952,0.0,0.9262232842505542,nan
99,0.9224357475015453,0.0,0.9288474100119934,nan
100,0.9225464938278485,0.0,0.9266485682797356,nan
1,1.0631487125005477,0.0,1.00116727490356,nan
2,1.006914536158244,0.0,1.0008116640906404,nan
